ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
192,0.9881577445,0.987872389,-0.0002853556,0,0,0,0,0,0,0,
193,0.9928661112,0.9924380778,-0.0004280333,0,0,0,0,0,0,0,
194,0.9970037667,0.9967469467,-0.00025682,0,0,0,0,0,0,0,
195,0.9959764867,0.9956055245,-0.0003709622,0,0,0,0,0,0,0,
196,0.9968610889,0.9963759845,-0.0004851044,0,0,0,0,0,0,0,
197,0.9954343112,0.9953487045,-8.56066659057353E-05,0,0,0,0,0,0,0,
198,0.9945782445,0.9945211734,-5.70711106038235E-05,0,0,0,0,0,0,0,
199,0.9940360689,0.9936651067,-0.0003709622,0,0,0,0,0,0,0,
201,0.9768291291,0.9764867024,-0.0003424267,0,0,0,0,0,0,0,
202,0.99563406,0.9950062778,-0.0006277822,0,0,0,0,0,0,0,
203,0.9969752311,0.9964330556,-0.0005421756,0,0,0,0,0,0,0,
205,0.9944355667,0.9942358178,-0.0001997489,0,0,0,0,0,0,0,
208,0.9967469467,0.99640452,-0.0003424267,0,0,0,0,0,0,0,
209,0.99666134,0.9965471978,-0.0001141422,0,0,0,0,0,0,0,
210,0.9955199178,0.9950633489,-0.0004565689,0,0,0,0,0,0,0,
211,0.978312978,0.9777422669,-0.0005707111,0,0,0,0,0,0,0,
213,0.9960620934,0.9960620934,0,0,0,0,0,0,0,0,
214,0.9957196667,0.9955769889,-0.0001426778,0,0,0,0,0,0,0,
215,0.9941787467,0.9931514667,-0.00102728,0,0,0,0,0,0,0,
217,0.9767149869,0.9762869535,-0.0004280333,0,0,0,0,0,0,0,
219,0.9485789293,0.9483506449,-0.0002282844,0,0,0,0,0,0,0,
220,0.9966328045,0.9961762356,-0.0004565689,0,0,0,0,0,0,0,
221,0.9865026823,0.9859034357,-0.0005992467,0,0,0,0,0,0,0,
222,0.9934368223,0.9930373245,-0.0003994978,0,0,0,0,0,0,0,
223,0.9876441046,0.9874158201,-0.0002282844,0,0,0,0,0,0,0,
224,0.9959479511,0.9958623445,-8.56066659057353E-05,0,0,0,0,0,0,0,
225,0.9967184111,0.9965757334,-0.0001426778,0,0,0,0,0,0,0,
226,0.9964615911,0.9962333067,-0.0002282844,0,0,0,0,0,0,0,
227,0.9967184111,0.9962333067,-0.0004851044,0,0,0,0,0,0,0,
228,0.9955769889,0.9952345623,-0.0003424267,0,0,0,0,0,0,0,
229,0.9920671156,0.991981509,-8.56066659057353E-05,0,0,0,0,0,0,0,
230,0.9934082867,0.9928375756,-0.0005707111,0,0,0,0,0,0,0,
231,0.9925807556,0.9924380778,-0.0001426778,0,0,0,0,0,0,0,
232,0.9777708024,0.9772286269,-0.0005421756,0,0,0,0,0,0,0,
233,0.9966898756,0.9964330556,-0.00025682,0,0,0,0,0,0,0,
234,0.9957767378,0.99537724,-0.0003994978,0,0,0,0,0,0,0,
235,0.9955769889,0.9955199178,-5.70711106038235E-05,0,0,0,0,0,0,0,
236,0.9873016779,0.9867595023,-0.0005421756,0,0,0,0,0,0,0,
238,0.9938933912,0.9912966556,-0.0025967355,0,0,0,0,0,0,0,
239,0.9954913823,0.9950918845,-0.0003994978,0,0,0,0,0,0,0,
